link_type,node_a,node_b,window_start_s,window_end_s
orbiter_earth,orbiter_1,earth,1094790,1099350
orbiter_earth,orbiter_1,earth,1101870,1106430
orbiter_earth,orbiter_1,earth,1108980,1113510
orbiter_earth,orbiter_1,earth,1116060,1120620
orbiter_earth,orbiter_1,earth,1123140,1127700
orbiter_earth,orbiter_1,earth,1130220,1134780
orbiter_earth,orbiter_1,earth,1137300,1141860
orbiter_earth,orbiter_1,earth,1144380,1148940
orbiter_earth,orbiter_1,earth,1151460,1156020
orbiter_earth,orbiter_1,earth,1158540,1163100
orbiter_earth,orbiter_1,earth,1165620,1170180
orbiter_earth,orbiter_1,earth,1172700,1177260
orbiter_earth,orbiter_1,earth,1179780,1184340
orbiter_earth,orbiter_1,earth,1186860,1191420
orbiter_earth,orbiter_1,earth,1193970,1198500
orbiter_earth,orbiter_1,earth,1201050,1205610
orbiter_earth,orbiter_1,earth,1208130,1212690
orbiter_earth,orbiter_1,earth,1215210,1219770
orbiter_earth,orbiter_1,earth,1222290,1226850
orbiter_earth,orbiter_1,earth,1229370,1233930
orbiter_earth,orbiter_1,earth,1236450,1241010
orbiter_earth,orbiter_1,earth,1243530,1248090
orbiter_earth,orbiter_1,earth,1250610,1255170
orbiter_earth,orbiter_1,earth,1257690,1262250
orbiter_earth,orbiter_1,earth,1264770,1269330
orbiter_earth,orbiter_1,earth,1271850,1276410
orbiter_earth,orbiter_1,earth,1278960,1283490
orbiter_earth,orbiter_1,earth,1286040,1290600
orbiter_earth,orbiter_1,earth,1293120,1297680
orbiter_earth,orbiter_1,earth,1300200,1304760
orbiter_earth,orbiter_1,earth,1307280,1311840
orbiter_earth,orbiter_1,earth,1314360,1318920
orbiter_earth,orbiter_1,earth,1321440,1326000
